# Time X Y Z VX VY VZ Phi Theta Psi P Q R U1 U2 U3 U4
1.360000 -0.052998 0.024449 1.507793 -0.056117 0.025169 0.445917 0.000334 0.000670 0.137002 -0.000826 -0.001487 0.100000 4.941368 4.941699 4.941808 4.941477
1.370000 -0.053559 0.024701 1.512256 -0.056186 0.025192 0.446637 0.000326 0.000655 0.138002 -0.000807 -0.001453 0.100000 4.940944 4.941268 4.941374 4.941050
1.380000 -0.054121 0.024953 1.516726 -0.056254 0.025215 0.447348 0.000319 0.000640 0.139002 -0.000789 -0.001421 0.100000 4.940519 4.940835 4.940939 4.940623
1.390000 -0.054684 0.025206 1.521203 -0.056319 0.025237 0.448051 0.000312 0.000626 0.140002 -0.000771 -0.001389 0.100000 4.940093 4.940402 4.940504 4.940195
1.400000 -0.055248 0.025458 1.525687 -0.056384 0.025258 0.448745 0.000305 0.000612 0.141002 -0.000754 -0.001358 0.100000 4.939666 4.939969 4.940068 4.939766
1.410000 -0.055812 0.025711 1.530178 -0.056447 0.025279 0.449431 0.000298 0.000598 0.142002 -0.000737 -0.001327 0.100000 4.939239 4.939534 4.939631 4.939336
1.420000 -0.056377 0.025964 1.534676 -0.056508 0.025299 0.450108 0.000291 0.000585 0.143002 -0.000721 -0.001297 0.100000 4.938810 4.939099 4.939194 4.938905
1.430000 -0.056942 0.026217 1.539180 -0.056569 0.025319 0.450776 0.000285 0.000572 0.144002 -0.000704 -0.001268 0.100000 4.938381 4.938663 4.938756 4.938474
1.440000 -0.057508 0.026470 1.543691 -0.056627 0.025338 0.451436 0.000278 0.000559 0.145002 -0.000688 -0.001240 0.100000 4.937951 4.938227 4.938317 4.938041
1.450000 -0.058075 0.026723 1.548209 -0.056685 0.025357 0.452086 0.000272 0.000546 0.146002 -0.000673 -0.001212 0.100000 4.937519 4.937789 4.937878 4.937608
1.460000 -0.058642 0.026977 1.552733 -0.056741 0.025375 0.452729 0.000266 0.000534 0.147002 -0.000658 -0.001185 0.100000 4.937088 4.937351 4.937438 4.937174
1.470000 -0.059209 0.027231 1.557263 -0.056796 0.025393 0.453362 0.000260 0.000522 0.148002 -0.000643 -0.001158 0.100000 4.936655 4.936913 4.936997 4.936739
1.480000 -0.059778 0.027485 1.561800 -0.056850 0.025411 0.453986 0.000254 0.000510 0.149002 -0.000629 -0.001132 0.100000 4.936221 4.936473 4.936556 4.936304
1.490000 -0.060346 0.027739 1.566343 -0.056902 0.025427 0.454602 0.000248 0.000499 0.150002 -0.000615 -0.001107 0.100000 4.935787 4.936033 4.936114 4.935868
1.500000 -0.060916 0.027994 1.570892 -0.056954 0.025444 0.455209 0.000243 0.000488 0.151002 -0.000601 -0.001082 0.100000 4.935351 4.935592 4.935671 4.935431
1.510000 -0.061485 0.028248 1.575447 -0.057004 0.025460 0.455807 0.000237 0.000477 0.152002 -0.000587 -0.001058 0.100000 4.934916 4.935151 4.935228 4.934993
